movie_name,ranking,score,score_num
蓝色大门,222,8.3,263001
爱·回家,223,9.0,44994
无敌破坏王,224,8.6,175579
大卫·戈尔的一生,225,8.7,83956
血钻,226,8.5,122144
曾经,227,8.3,194843
国王的演讲,228,8.3,320221
麦兜故事,229,8.5,121528
爱在午夜降临前,230,8.7,107293
暖暖内含光,231,8.4,137244
枪火,232,8.6,92983
疯狂的石头,233,8.2,291646
遗愿清单,234,8.5,118481
蝴蝶,235,8.6,91912
千钧一发,236,8.7,78771
巴黎淘气帮,237,8.6,101029
荒岛余生,238,8.4,124657
与狼共舞,239,8.9,53758
偷拐抢骗,240,8.5,110469
月球,241,8.5,135223
夜访吸血鬼,242,8.3,188568
房间,243,8.8,135594
我爱你,244,9.0,51965
寿司之神,245,8.8,77192
头脑特工队,246,8.7,204965
彗星来的那一夜,247,8.4,156414
爱在暹罗,248,8.3,211487
中央车站,249,8.7,72920
廊桥遗梦,250,8.5,92615
